CNES;NOMEUBS;STS;CRS;PERC_ESF;EAB;AREA_KM2;PERIMETRO_KM;POP_2010;DOM_PP_2010;DENS_DEMOG_HAB_P_KM2;DENS_DOMIC
2057891;UBS PARQUE SAO LUCAS;VILA PRUDENTE / SAPOPEMBA;SUDESTE;100;ESF_EXCLUSIVA;1,67753388673;7,16929867455;25887;8651,12712508059;15431,580968216;2,99232685241102
2027321;UBS RECANTO CAMPO BELO;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;5,53113403607;10,9139725478;15504;4446,03718638413;2803,04181726465;3,48715032062273
2787393;UBS JARDIM GERMANIA;CAMPO LIMPO;SUL;100;ESF_EXCLUSIVA;,560610033446;4,443539656;11023;3551,43673532026;19662,5093065905;3,1038142649065
2788632;UBS VILA SANTA MARIA;CASA VERDE / CACHOEIRINHA;NORTE;100;ESF_EXCLUSIVA;1,31484512464;6,9743975174;23615;7148,19905325699;17960,2901949883;3,30362932314261
2788454;AMA/UBS INTEGRADA PARQUE SANTO ANTONIO;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;1,63381349006;7,89687449972;41183;12352,4823270751;25206,6715390431;3,33398574549926
2787644;UBS JARDIM NAKAMURA;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;,90921788463;5,29555996244;13618;4104,44294779906;14977,7080171952;3,31786802087295
3049213;UBS CHACARA STA MARIA;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;2,47119491834;11,8103281857;13484;3772,81749918469;5456,46962120566;3,57398681566599
2787849;UBS JARDIM SILVA TELLES;ITAIM PAULISTA;LESTE;100;ESF_EXCLUSIVA;1,07263036723;5,3840312067;15859;4629,74122086724;14785,1491851334;3,42546143368015
2787903;UBS JARDIM TRES CORAÇ?ES;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;1,94832696149;7,50264452108;18650;5234,20984655121;9572,3153087905;3,56309749642314
6998186;UBS VILA NATAL;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;1,19360265024;5,89020184256;22338;6189,7858140406;18714,7707786242;3,60884862111539
9129855;UBS SHANGRILA ELLUS;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;2,89862940493;7,53535564011;6705;1853,07141771281;2313,16220990379;3,61831710095435
